Line,Month,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
South,June,1173125,1215002,1272210,1250602,1154820,1165636,1188734,1300795,1284554,1294940,1325374,1321206,1331450
South,July,1369006,1347063,1326994,1253735,1168315,1237157,1345547,1358259,1340920,1338376,1266177,1389241,1402480
South,August,1393129,1342235,1306149,1338646,1329422,1335188,1403450,1443498,1447828,1406667,1437740,1529200,1498035
South,September,1293803,1312394,1363829,1286835,1227257,1217744,1250210,1427830,1384727,1398160,1420402,1432575,1458517
South,October,1430997,1364055,1333590,1234429,1255954,1316810,1447887,1459704,1402216,1381080,1403537,1447240,1518691
South,November,1290146,1247408,1241482,1239138,1215115,1225795,1296519,1374797,1336913,1345487,1371506,1380223,1402770
South,December,1141002,1138546,1175239,1141754,1068087,1092736,1165192,1299976,1246180,1253880,1299673,1263894,1303392
South Coast,January,303736,272482,281469,274710,253181,271815,277297,276081,269509,255259,265181,268231,245280
South Coast,February,285856,249298,252544,258743,247218,262049,252574,259150,235259,244828,255770,256777,233244
South Coast,March,325397,298704,307877,303823,301504,302638,298258,302149,308723,299424,310302,295634,287933
South Coast,April,303527,293076,288175,294767,283443,293156,287409,294745,273224,275678,287637,280035,259508
South Coast,May,291608,281834,276766,287851,277474,293605,287576,292798,274770,259124,267457,284657,255888
South Coast,June,251286,249911,275218,272795,256005,263457,248095,270247,250034,253146,246987,248411,235108
South Coast,July,300922,290997,301502,280537,260516,279202,262040,285150,239176,243356,271393,241359,251591
South Coast,August,288096,279508,285827,284134,281251,289229,279332,286114,262922,262887,267300,269524,256885
South Coast,September,269035,273191,298150,278728,272336,265751,253483,278348,257846,253142,268619,259077,248802
South Coast,October,296737,285266,298713,262243,282634,261173,289915,264738,264325,245700,253523,259804,259671
South Coast,November,276588,265595,283850,269085,276122,276353,274115,277480,264099,267531,259375,262317,253001
South Coast,December,226075,258291,276972,258316,258712,252565,253071,272945,253057,268693,267058,246401,245825
Southern Highlands,January,41036,38956,38994,35018,35083,39218,35481,30612,38804,36779,37425,36914,36764
Southern Highlands,February,38606,36312,34097,31916,33039,37443,37388,39269,38572,37316,38768,40310,39680
Southern Highlands,March,42354,42116,41340,38298,38162,39318,42771,43027,44253,44041,46044,47425,43581
Southern Highlands,April,39330,43879,28248,39357,37800,35896,42500,44720,44607,43742,43445,41859,41398
Southern Highlands,May,38944,38857,36033,35897,38583,37245,41782,43702,42717,43806,41364,42373,41736
Southern Highlands,June,31564,35001,35170,34725,35070,38386,35963,43661,39470,41366,39823,39723,37108
Southern Highlands,July,38959,41527,41196,36091,37526,41878,41001,45400,42188,44151,42261,41479,41051
Southern Highlands,August,36783,36519,37514,36038,38996,42037,40547,44567,40800,39922,41441,40926,41989
Southern Highlands,September,35310,38039,39955,35671,40029,39321,35456,43860,39555,42911,40604,40419,40282
Southern Highlands,October,40949,40745,40647,35758,40915,41698,41847,45833,43807,41782,41106,42318,40724
Southern Highlands,November,36971,36563,37856,34270,40005,41124,41019,42935,43113,42100,42605,40945,41639
Southern Highlands,December,36385,35829,38170,34224,36828,37987,39081,43055,41668,41300,40565,37920,39067
Western,January,2535517,2481919,2409890,2390741,2306399,2373387,2603956,2773495,2680094,2596014,2660900,2712527,2682177
Western,February,2486551,2361336,2386919,2354662,2334156,2405135,2522237,2834665,2714867,2725736,2742639,2894538,2742939
Western,March,2842159,2729626,2854446,2860931,2778179,2901209,2976744,3161687,3273064,3250223,3298915,3377880,3222753
Western,April,2739609,2796388,2634136,2632351,2575076,2599190,2819623,3158267,3024653,2962763,2964804,3018667,2981036
Western,May,2895865,2746684,2709635,2728355,2769197,2969194,3080411,3202229,3180270,3118849,3217089,3306201,3214316
Western,June,2347718,2446072,2606139,2589948,2479943,2597325,2662245,2997113,2829712,2857990,2950865,2926534,2898674
Western,July,2778214,2743042,2743936,2594774,2501301,2723712,2963535,3106872,2992714,3012970,3074103,3081527,3039396
Western,August,2790709,2683804,2664921,2801243,2831903,2898368,3071412,3270229,3135304,3088789,3154741,3272473,3170401
Western,September,2591443,2673455,2763862,2643619,2626584,2656798,2774160,3180160,3022388,3057704,3108786,3089125,3064188
Western,October,2868067,2724186,2714147,2538963,2615370,2891979,3113327,3221821,3042731,3018626,3044893,3161878,3183470
Western,November,2594029,2490539,2541171,2610898,2584371,2713416,2896668,3031935,2942363,2962728,3036240,3016540,2998031
Western,December,2261407,2290169,2404010,2366032,2271198,2369310,2553281,2795613,2698315,2776471,2804637,2648435,2670160
Other,January,3053860,2929150,2863620,2757305,2852896,2735699,2756003,2752570,2675505,2599005,2971502,2961479,3185128
Other,February,4299362,4180280,4171983,4028077,4225162,4059038,4112631,4139231,4134064,3987504,4296553,4423479,4497459
Other,March,4849649,4650041,4744649,4709721,4906695,4650342,4682686,4663396,5095716,4713784,5203297,5129668,5211650
Other,April,3926938,3602486,3444429,3327118,3411560,3317682,3364373,3599766,3733272,3850860,3781904,3769998,3971018
Other,May,4671711,4570804,4464128,4396497,4553566,4463538,4536961,4565671,4777236,4510987,4836054,5002379,5090250
Other,June,5811048,4489772,4360719,4276213,4328340,4591590,4182395,4371152,4526874,4344731,4557039,4533199,4692748
Other,July,3739873,3780279,3752931,3688146,3816752,3449912,3825599,3909592,3932754,3806413,4032678,4154942,4383503
Other,August,4538387,4458645,4879278,4427066,4586758,4299176,4522573,4522491,4614054,5073472,4903163,4995182,5094075
Other,September,4324141,4290446,4025241,4190836,4251533,4094796,4127982,4437478,4387799,4438072,4616515,4591643,4807670
Other,October,4066189,3989234,3822776,3799842,3894636,3912700,4061723,4128677,4041320,4058496,4242916,4476285,4649092
Other,November,4460549,4430565,4259496,4809090,4398452,4299300,4867272,4466621,4593828,4672852,4789808,4786313,5007693
Other,December,3784281,3754953,3706790,3775800,3707619,3692535,3531384,4832414,4640966,3965517,4550053,4289426,4695479
